Fecha,INPC,INVERSION,IGAE
Jun 2000,61.609451911208,71.72633492565,85.263090101444
Jul 2000,61.84978026108,74.179915836538,83.441768089736
Ago 2000,62.189640459821,80.3330370161,85.338301770637
Sep 2000,62.643933633536,77.388624425888,84.085485149068
Oct 2000,63.07530200051,74.151486013931,85.33202596261
Nov 2000,63.614607979974,75.519447028703,86.019797378649
Dic 2000,64.303307262108,75.802928138759,84.491273621093
Ene 2001,64.65978794315,68.701907277634,83.382824899095
Feb 2001,64.61699497976,66.376344948182,80.501674350251
Mar 2001,65.026393744009,68.926885204699,85.374022113089
Abr 2001,65.354409466737,61.545862846065,80.166131842187
May 2001,65.504375883541,65.777002085179,84.909813643094
Jun 2001,65.659309337784,67.872358515017,84.317989715948
Jul 2001,65.48871059836,73.080695642308,83.437130239067
Ago 2001,65.87671288781,76.292102599015,84.63611763672
Sep 2001,66.489951356085,74.565737022758,82.224840636598
Oct 2001,66.790457310724,70.001593210255,84.387829932511
Nov 2001,67.042057015578,72.466791112022,85.23908848432
Dic 2001,67.134902470813,76.412918552711,83.932598417708
Ene 2002,67.754636301573,66.891813584526,82.014203501512
Feb 2002,67.711079179108,66.981985106153,79.636626978531
Mar 2002,68.057434733438,64.108007935065,81.964461899516
Abr 2002,68.429198616676,68.696299479096,83.797564774618
May 2002,68.567893678498,68.848094420678,85.526288798096
Jun 2002,68.902213711874,68.014466259478,83.621529390774
Jul 2002,69.100011723087,73.030605318594,84.202120800167
Ago 2002,69.362746788219,75.133540216024,84.522077281986
Sep 2002,69.779950763035,74.457688662657,82.349823978189
Oct 2002,70.087509395709,72.487337978438,86.004481601731
Nov 2002,70.654355126782,72.26946128938,84.909680614438
Dic 2002,70.961913759456,75.591646276908,85.259460248444
Ene 2003,71.248784591726,69.573997077383,83.945974251857
Feb 2003,71.446697882259,71.168956581594,81.950060040457
Mar 2003,71.897691931068,72.005448807063,85.314834721264
Abr 2003,72.020439546799,69.800829398609,82.940686728411
May 2003,71.788046588927,70.045337210727,85.713087895368
Jun 2003,71.847351616752,71.529180284973,85.266208627541
Jul 2003,71.951480212119,75.013870813166,85.146309317676
Ago 2003,72.167322929668,74.903712631182,83.663117287949
Sep 2003,72.596939584727,73.090540262213,83.194644085145
Oct 2003,72.863122616593,73.445727600239,86.455277894389
Nov 2003,73.46789598174,71.847648269413,85.854280850129
Dic 2003,73.783729734576,79.188880928115,88.192086420973
Ene 2004,74.2423093102,75.123772678523,86.40698536807
Feb 2004,74.686407425541,72.384878146002,85.293481290581
Mar 2004,74.939488183818,78.561556502013,90.205419025863
Abr 2004,75.052581492694,74.91043105254,86.397518506729
May 2004,74.864322509016,74.636385353174,88.679457866133
Jun 2004,74.98431175136,78.336906550812,89.29785105544
Jul 2004,75.180845855199,79.052635616246,87.826006782077
Ago 2004,75.644942177598,78.481276105509,87.682080526609
Sep 2004,76.270403343149,78.876296490723,86.87490630093
Oct 2004,76.7986318468,78.946757072712,89.674440910706
Nov 2004,77.453745526263,81.831349101662,91.380198767552
Dic 2004,77.613731182722,86.026999429874,91.788562496831
Ene 2005,77.616489556109,79.080739925534,88.684355968398
Feb 2005,77.87508706116,75.935463468135,87.350782796043
Mar 2005,78.226090074683,79.445625951215,89.767834214769
Abr 2005,78.504685786792,80.780585571416,90.774699726159
May 2005,78.307462089606,79.134677974965,92.11256586583
Jun 2005,78.232296414804,81.576644012426,90.963732984081
Jul 2005,78.538475860785,81.678571880468,89.309608373203
Ago 2005,78.63226055595,85.192731319409,91.835533814513
Sep 2005,78.947404715439,83.830102645106,90.15981622995
Oct 2005,79.141180445891,83.062463389523,92.812344332972
Nov 2005,79.710784550351,87.624464250634,94.775913361954
Dic 2005,80.200395826581,95.158504870312,95.344295424694
Ene 2006,80.670698489101,84.356813813614,93.679493286126
Feb 2006,80.794135698179,80.891797746019,90.816010646304
Mar 2006,80.895505920159,90.659460107153,96.500300558775
Abr 2006,81.014115975809,84.291719725563,92.235627821661
May 2006,80.653458655431,87.840626887758,97.98801970554
Jun 2006,80.723107583458,89.07672022825,96.888852957544
Jul 2006,80.944467047782,89.201759057506,94.720075866553
Ago 2006,81.357533462517,92.579848448128,96.606818501008
Sep 2006,82.17883913856,93.272571152488,94.346078213773
Oct 2006,82.538117272245,93.418167761914,97.890310461285
Nov 2006,82.971181894037,93.360607362124,98.343058780258
Dic 2006,83.451138863412,99.783197199383,98.186260291281
Ene 2007,83.882134705164,88.096434425111,96.545861333917
Feb 2007,84.116596443078,86.551713662107,93.436752239063
Mar 2007,84.298649086634,92.541555521616,99.231251971998
Abr 2007,84.248308772317,89.986822169965,95.301061331731
May 2007,83.837311137622,91.627227241008,100.114526292883
Jun 2007,83.937991766255,91.984007653359,99.650344885843
Jul 2007,84.294511526553,95.580911747563,98.556941695859
Ago 2007,84.637929013261,97.513850647284,99.4531093719
Sep 2007,85.295111472765,96.251491529845,96.745596456158
Oct 2007,85.627495465924,103.614648669295,102.534856265491
Nov 2007,86.231579237724,102.620247210234,101.734491441838
Dic 2007,86.588098998021,106.995859733061,101.070083951252
Ene 2008,86.98944232586,95.54983633293,99.765323487871
Feb 2008,87.248039830912,95.110564673905,97.746444728307
Mar 2008,87.88039692993,92.270519292821,97.753733527174
Abr 2008,88.080379000503,100.662327021238,101.119625873241
May 2008,87.985215118645,99.553272001617,101.564426210814
Jun 2008,88.349320405757,102.669725865051,101.197200399675
Jul 2008,88.841690055374,107.287656989825,101.557488851744
Ago 2008,89.354747505396,101.363300076896,99.554950956712
Sep 2008,89.963658430623,99.162475983018,98.084668052321
Oct 2008,90.576706915932,104.785460049444,102.252878712011
Nov 2008,91.606269782709,97.900170286557,99.942096372197
Dic 2008,92.240695661768,103.684691426699,99.46116282792
Ene 2009,92.454469599277,89.749253919512,93.454778809142
Feb 2009,92.658589229931,85.882326527095,91.119042458478
Mar 2009,93.19164488701,87.036857531827,95.173104518049
Abr 2009,93.517822540048,85.187746439439,91.507134685559
May 2009,93.245433168061,85.684802628236,93.166561146472
